,Month,Donation
280,2024-01-01,7509
281,2024-01-01,12500
282,2024-01-01,1500
283,2024-01-01,0
284,2024-01-01,10000
285,2024-01-01,2020
286,2024-01-01,0
287,2024-01-01,0
288,2024-01-01,806
289,2024-01-01,0
290,2024-01-01,9300
291,2024-01-01,8000
292,2024-01-01,180
293,2024-01-01,0
294,2024-01-01,1010
295,2024-01-01,1500
296,2024-01-01,5250
297,2024-01-01,700
298,2024-01-01,2500
299,2024-01-01,0
300,2024-01-01,0
301,2024-01-01,0
302,2024-01-01,0
303,2024-01-01,0
304,2024-01-01,0
305,2024-01-01,0
306,2024-01-01,0
307,2024-01-01,0
308,2024-01-01,0
309,2024-01-01,1000
310,2024-01-01,0
311,2024-01-01,200
312,2024-01-01,200
313,2024-01-01,500
314,2024-01-01,1500
315,2024-01-01,303
316,2024-01-01,0
317,2024-01-01,600
318,2024-01-01,1000
319,2024-01-01,0
320,2024-01-01,0
321,2024-01-01,0
322,2024-01-01,1800
323,2024-01-01,1200
324,2024-01-01,0
325,2024-01-01,0
326,2024-01-01,0
327,2024-01-01,3988
328,2024-01-01,700
329,2024-01-01,12000
330,2024-01-01,0
331,2024-01-01,0
332,2024-01-01,0
333,2024-01-01,0
334,2024-01-01,0
335,2024-01-01,0
336,2024-01-01,0
337,2024-01-01,8427
338,2024-01-01,10500
339,2024-01-01,1500
340,2024-01-01,437
341,2024-01-01,17000
342,2024-01-01,0
343,2024-01-01,4100
344,2024-01-01,6158
345,2024-01-01,18200
346,2024-01-01,8035
347,2024-01-01,5055
348,2024-01-01,5100
349,2024-01-01,35346
350,2024-01-01,2400
351,2024-01-01,100
352,2024-01-01,0
353,2024-01-01,0
354,2024-01-01,0
355,2024-01-01,7000
356,2024-01-01,2250
357,2024-01-01,0
358,2024-01-01,0
359,2024-01-01,0
360,2024-01-01,0
361,2024-01-01,0
362,2024-01-01,0
363,2024-01-01,0
364,2024-01-01,0
365,2024-01-01,0
366,2024-01-01,0
367,2024-01-01,0
368,2024-01-01,0
369,2024-01-01,0
370,2024-01-01,0
371,2024-01-01,0
372,2024-01-01,0
373,2024-01-01,0
374,2024-01-01,0
375,2024-01-01,0
376,2024-01-01,2200
377,2024-01-01,0
378,2024-01-01,0
379,2024-01-01,0
380,2024-01-01,0
381,2024-01-01,0
382,2024-01-01,0
383,2024-01-01,0
384,2024-01-01,1500
385,2024-01-01,0
386,2024-01-01,0
387,2024-01-01,0
388,2024-01-01,0
389,2024-01-01,0
390,2024-01-01,0
391,2024-01-01,0
392,2024-01-01,0
393,2024-01-01,0
394,2024-01-01,0
395,2024-01-01,0
396,2024-01-01,0
397,2024-01-01,0
398,2024-01-01,0
399,2024-01-01,0
400,2024-01-01,0
401,2024-01-01,0
402,2024-01-01,0
403,2024-01-01,0
404,2024-01-01,0
405,2024-01-01,0
406,2024-01-01,3876
407,2024-01-01,300
408,2024-01-01,2800
409,2024-01-01,10160
410,2024-01-01,3300
411,2024-01-01,7860
412,2024-01-01,1000
413,2024-01-01,0
414,2024-01-01,1465
415,2024-01-01,3700
416,2024-01-01,10430
417,2024-01-01,6200
418,2024-01-01,0
419,2024-01-01,4308
420,2024-01-01,1000
421,2024-01-01,1119
422,2024-01-01,50
423,2024-01-01,2000
424,2024-01-01,0
425,2024-01-01,500
426,2024-01-01,500
427,2024-01-01,0
428,2024-01-01,0
429,2024-01-01,0
430,2024-01-01,0
431,2024-01-01,0
432,2024-01-01,0
433,2024-01-01,0
434,2024-01-01,0
435,2024-01-01,0
436,2024-01-01,0
437,2024-01-01,0
438,2024-01-01,0
439,2024-01-01,2400
440,2024-01-01,2307
441,2024-01-01,400
442,2024-01-01,2000
443,2024-01-01,15228
444,2024-01-01,23643
445,2024-01-01,1990
446,2024-01-01,3850
447,2024-01-01,1250
448,2024-01-01,1900
449,2024-01-01,950
450,2024-01-01,2400
451,2024-01-01,5000
452,2024-01-01,1200
453,2024-01-01,2700
454,2024-01-01,0
455,2024-01-01,500
456,2024-01-01,1500
457,2024-01-01,0
458,2024-01-01,0
459,2024-01-01,450
460,2024-01-01,200
461,2024-01-01,0
462,2024-01-01,4340
463,2024-01-01,0
464,2024-01-01,0
465,2024-01-01,0
466,2024-01-01,0
467,2024-01-01,0
468,2024-01-01,0
469,2024-01-01,0
470,2024-01-01,0
471,2024-01-01,0
472,2024-01-01,0
473,2024-01-01,8600
474,2024-01-01,5300
475,2024-01-01,0
476,2024-01-01,100
477,2024-01-01,15380
478,2024-01-01,1200
479,2024-01-01,300
480,2024-01-01,1391
481,2024-01-01,4100
482,2024-01-01,4100
483,2024-01-01,1300
484,2024-01-01,1200
485,2024-01-01,1145
486,2024-01-01,1850
487,2024-01-01,0
488,2024-01-01,0
489,2024-01-01,0
490,2024-01-01,0
491,2024-01-01,0
492,2024-01-01,100
493,2024-01-01,200
494,2024-01-01,0
495,2024-01-01,0
496,2024-01-01,0
497,2024-01-01,0
498,2024-01-01,0
499,2024-01-01,0
500,2024-01-01,0
501,2024-01-01,0
502,2024-01-01,0
503,2024-01-01,0
504,2024-01-01,0
505,2024-01-01,8125
506,2024-01-01,6600
507,2024-01-01,653
508,2024-01-01,3900
509,2024-01-01,3700
510,2024-01-01,0
511,2024-01-01,0
512,2024-01-01,0
513,2024-01-01,21100
514,2024-01-01,0
515,2024-01-01,150
516,2024-01-01,2000
517,2024-01-01,3130
518,2024-01-01,0
519,2024-01-01,1118
520,2024-01-01,100
521,2024-01-01,45600
522,2024-01-01,5300
523,2024-01-01,600
524,2024-01-01,0
525,2024-01-01,13369
526,2024-01-01,0
527,2024-01-01,0
528,2024-01-01,0
529,2024-01-01,0
530,2024-01-01,0
531,2024-01-01,0
532,2024-01-01,0
533,2024-01-01,0
534,2024-01-01,0
535,2024-01-01,0
536,2024-01-01,0
537,2024-01-01,0
538,2024-01-01,0
539,2024-01-01,0
540,2024-01-01,0
541,2024-01-01,0
542,2024-01-01,0
543,2024-01-01,0
544,2024-01-01,0
545,2024-01-01,1500
546,2024-01-01,8095
547,2024-01-01,0
548,2024-01-01,1000
549,2024-01-01,1770
550,2024-01-01,0
551,2024-01-01,0
552,2024-01-01,2462
553,2024-01-01,2000
554,2024-01-01,350
555,2024-01-01,400
556,2024-01-01,6959
557,2024-01-01,0
558,2024-01-01,0
559,2024-01-01,0
560,2024-01-01,0
561,2024-01-01,0
562,2024-01-01,0
563,2024-01-01,0
564,2024-01-01,0
565,2024-01-01,0
566,2024-01-01,0
567,2024-01-01,0
568,2024-01-01,0
569,2024-01-01,0
570,2024-01-01,0
571,2024-01-01,0
572,2024-01-01,0
573,2024-01-01,0
574,2024-01-01,0
575,2024-01-01,0
576,2024-01-01,0
577,2024-01-01,0
578,2024-01-01,0
579,2024-01-01,0
580,2024-01-01,0
581,2024-01-01,0
582,2024-01-01,0
583,2024-01-01,0
584,2024-01-01,0
585,2024-01-01,0
586,2024-01-01,0
587,2024-01-01,0
588,2024-01-01,0
589,2024-01-01,0
590,2024-01-01,0
591,2024-01-01,0
592,2024-01-01,0
593,2024-01-01,0
594,2024-01-01,0
595,2024-01-01,0
596,2024-01-01,0
597,2024-01-01,0
598,2024-01-01,0
599,2024-01-01,0
600,2024-01-01,0
601,2024-01-01,0
602,2024-01-01,0
603,2024-01-01,0
604,2024-01-01,0
605,2024-01-01,0
606,2024-01-01,0
607,2024-01-01,0
608,2024-01-01,0
609,2024-01-01,0
610,2024-01-01,0
611,2024-01-01,0
612,2024-01-01,0
613,2024-01-01,0
614,2024-01-01,0
615,2024-01-01,0
616,2024-01-01,0
617,2024-01-01,0
618,2024-01-01,0
619,2024-01-01,0
620,2024-01-01,0
621,2024-01-01,0
622,2024-01-01,0
623,2024-01-01,0
624,2024-01-01,0
625,2024-01-01,0
626,2024-01-01,0
627,2024-01-01,0
628,2024-01-01,0
629,2024-01-01,0
630,2024-01-01,0
631,2024-01-01,0
632,2024-01-01,0
633,2024-01-01,0
634,2024-01-01,0
635,2024-01-01,0
636,2024-01-01,0
637,2024-02-01,500
