2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
R,R,R,R,0,0,249,0,0,10,0
R,R,R,R,0,0,2750,2500,2767,600,6350
R,R,R,R,0,0,0,0,300,500,500
R,R,R,R,0,0,100,0,0,0,100
R,R,R,R,0,0,0,0,0,400,0
R,R,R,R,0,0,249,0,0,0,0
R,R,R,R,0,0,0,0,100,0,0
R,R,R,R,0,0,0,0,0,0,50
R,R,R,R,0,0,0,150,50,300,0
0,0,0,0,0,0,0,420,0,0,0
0,0,0,R,0,0,0,0,0,150,50
0,0,0,R,0,0,0,0,660,0,0
0,0,0,R,0,300,3475,300,1990,0,2000
0,0,0,R,0,0,0,0,0,0,1600
0,0,0,R,0,0,0,0,0,0,0
0,0,0,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,900,200,199,0,0
R,R,R,R,0,0,0,0,0,3040,0
1500,780,700,16600,0,0,0,500,0,0,0
8095,6250,9050,16230,0,0,0,200,170,350,170
0,0,2200,0,0,0,0,0,800,4005,600
1000,0,0,0,3600,8350,0,9000,4190,4400,4300
1770,1570,14700,6800,923,3813,0,7920,8819,5450,2741
0,0,0,0,700,0,0,0,0,200,200
0,0,11000,200,22688,4640,0,3000,2551,3725,6982
2462,1050,28399,500,0,100,0,0,300,0,0
2000,800,200,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
400,200,1100,2700,0,0,0,4100,150,2000,1500
6959,21800,39900,11943,0,0,0,300,0,0,600
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1820,0,0,1180
0,0,0,0,0,0,0,79,200,0,0
0,1100,1000,150,1000,0,0,2600,1000,0,0
0,0,0,0,0,0,0,952,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,3570,8473,0,16954,3819,0,10000
R,R,R,R,0,0,0,0,0,0,210
R,R,R,R,1500,0,0,800,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,700,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4878,4000,7900,6900
0,0,0,0,0,0,0,890,3600,550,970
0,0,0,0,0,0,0,1000,1100,1000,1000
0,0,0,0,0,0,0,800,950,1369,1427
0,0,0,0,0,0,0,2330,1180,300,150
0,0,0,0,0,0,0,2790,2317,3299,1988
0,0,0,0,0,0,0,1300,900,700,200
0,0,0,0,0,0,0,300,240,0,0
0,0,0,0,0,0,0,0,0,0,500
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1700,900,1800,1600
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,221,2153,0,3713,5829,2991,4411
0,0,0,0,800,750,500,1000,1000,1500,3146
0,0,0,0,0,0,0,0,1200,3000,6900
0,0,0,0,0,0,0,0,2818,7182,20241
0,0,0,0,0,0,0,0,738,653,350
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2810
0,0,0,0,0,0,0,17533,19780,14700,7221
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200,537,0,0
0,0,0,0,0,0,0,0,0,100,0
0,0,0,0,0,0,0,0,0,0,6720
0,0,0,0,0,0,0,10132,23840,21000,10200
0,0,0,0,3020,7000,0,9230,13513,5506,6303
0,0,0,0,0,0,0,2000,7320,5300,3950
0,0,0,0,0,0,0,9823,6440,17381,23651
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6212,5709,3538,3994
0,0,0,0,0,0,0,7052,1950,5778,591
0,0,0,0,0,0,0,41401,14384,15950,15230
0,0,0,0,0,0,0,540,150,0,0
0,0,0,0,0,0,0,3700,100,100,200
0,0,0,0,0,0,0,2400,5267,1242,4845
0,0,0,0,0,0,0,530,300,560,500
0,0,0,0,0,0,0,80,0,9500,3500
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,200
0,0,0,0,0,0,0,0,0,70,73
0,0,0,0,0,0,0,100,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,24860,5250,0,0
0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,0,0,0,1580,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3738,5933,4808,11100
0,0,0,0,0,0,0,0,5300,10155,9000
0,0,0,0,0,0,0,0,0,5300,5300
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5300,5300,5300
0,0,0,0,0,0,0,0,5300,5300,2000
0,0,0,0,650,900,1981,6600,5300,3700,1982
