2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
R,R,R,R,1720,6500,1300,0,1000,0,0
R,R,R,R,972,233,640,323,400,1300,888
R,R,R,R,0,0,0,0,3450,9000,8600
4041,1965,500,0,7800,3000,4450,22057,2700,12660,18400
10600,2500,16000,6000,2191,2815,2630,2728,3560,1661,2985
45270,42997,47500,47750,19030,13900,3200,5265,4850,5300,8360
0,0,0,0,1800,0,500,1050,1500,450,650
0,0,0,0,0,500,3000,1300,1000,2000,1350
0,0,0,0,675,0,0,470,100,100,0
5300,1117,4986,2025,44900,18800,26200,23800,33800,24700,26000
0,0,0,0,0,0,0,0,0,0,0
7050,4900,18620,25500,1000,3900,17000,4400,400,4835,2600
5330,1790,3875,0,2100,0,0,0,0,0,0
0,0,0,700,0,0,0,0,0,0,0
0,740,900,0,2000,0,1890,1750,2100,1700,2150
5300,900,1200,1800,3200,11300,2770,7060,11202,5355,9640
0,0,0,0,1210,70,110,2060,3098,367,3019
0,0,0,0,8691,6450,11100,26550,10000,10000,8060
12100,15640,258300,33200,1000,0,3600,900,101,1160,13230
o,0,0,1000,200,0,0,0,0,0,80
0,2700,1300,2100,0,0,0,0,0,1000,1400
0,1500,58540,0,0,200,1342,5000,5300,5600,500
0,1000,3350,3000,12128,7200,1500,3800,6700,4440,385
0,0,0,1600,5500,8000,2000,6900,2500,4100,2900
0,0,1030,1449,1100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,750,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,1000,1700,4648
R,R,R,R,500,200,800,136,720,1000,745
100,400,1155,75,0,0,0,700,200,0,0
16750,3700,750,0,0,100,400,0,500,200,0
0,0,2500,0,0,0,0,4000,0,5000,2000
100,0,790,1800,0,12000,17000,9000,5100,3672,5000
600,500,2200,0,0,1161,500,1100,100,100,761
0,0,0,3000,0,14200,21140,21100,34975,10200,30639
870,913,2050,1478,0,2000,2620,5750,4324,4607,4700
1000,0,999,0,0,100,0,0,0,0,95
38436,10320,186541,26210,0,0,0,0,0,0,0
1000,0,2000,0,0,500,0,1500,1000,6000,5500
0,5000,14700,1700,0,0,1552,0,4600,0,299
0,0,0,0,0,4150,1500,1500,300,0,130
0,100,0,0,0,25,810,401,459,850,1615
5000,0,1000,0,0,1700,2500,4200,0,2700,500
500,1200,2400,11500,0,18834,35400,28650,42000,60400,44510
1500,100,0,0,0,200,0,50,500,0,100
